<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
GBPUSD,20050728,00:00:00,1.7431,1.7403,1.7595,1.7553
GBPUSD,20050729,00:00:00,1.7553,1.7515,1.7610,1.7573
GBPUSD,20050801,00:00:00,1.7556,1.7539,1.7729,1.7666
GBPUSD,20050802,00:00:00,1.7666,1.7666,1.7748,1.7711
GBPUSD,20050803,00:00:00,1.7711,1.7649,1.7828,1.7772
GBPUSD,20050804,00:00:00,1.7772,1.7711,1.7823,1.7805
GBPUSD,20050805,00:00:00,1.7805,1.7716,1.7822,1.7791
GBPUSD,20050808,00:00:00,1.7762,1.7729,1.7901,1.7841
GBPUSD,20050809,00:00:00,1.7841,1.7819,1.7914,1.7872
GBPUSD,20050810,00:00:00,1.7873,1.7862,1.7977,1.7966
GBPUSD,20050811,00:00:00,1.7965,1.7952,1.8124,1.8108
GBPUSD,20050812,00:00:00,1.8110,1.8073,1.8174,1.8141
GBPUSD,20050815,00:00:00,1.8159,1.8071,1.8162,1.8111
GBPUSD,20050816,00:00:00,1.8110,1.8039,1.8143,1.8098
GBPUSD,20050817,00:00:00,1.8097,1.8017,1.8123,1.8060
GBPUSD,20050818,00:00:00,1.8060,1.7913,1.8089,1.7932
GBPUSD,20050819,00:00:00,1.7932,1.7889,1.7974,1.7964
GBPUSD,20050822,00:00:00,1.7962,1.7942,1.8044,1.8004
GBPUSD,20050823,00:00:00,1.8004,1.7961,1.8018,1.8003
GBPUSD,20050824,00:00:00,1.8004,1.7905,1.8027,1.8002
GBPUSD,20050825,00:00:00,1.8002,1.7980,1.8080,1.8022
GBPUSD,20050826,00:00:00,1.8021,1.7988,1.8095,1.8012
GBPUSD,20050829,00:00:00,1.8015,1.7925,1.8083,1.7952
GBPUSD,20050830,00:00:00,1.7953,1.7818,1.7962,1.7853
GBPUSD,20050831,00:00:00,1.7853,1.7820,1.8054,1.8034
GBPUSD,20050901,00:00:00,1.8034,1.8005,1.8362,1.8334
GBPUSD,20050902,00:00:00,1.8334,1.8302,1.8446,1.8435
GBPUSD,20050905,00:00:00,1.8395,1.8372,1.8497,1.8436
GBPUSD,20050906,00:00:00,1.8435,1.8373,1.8464,1.8416
GBPUSD,20050907,00:00:00,1.8413,1.8352,1.8459,1.8359
GBPUSD,20050908,00:00:00,1.8358,1.8329,1.8440,1.8354
GBPUSD,20050909,00:00:00,1.8354,1.8319,1.8422,1.8390
GBPUSD,20050912,00:00:00,1.8412,1.8182,1.8425,1.8189
GBPUSD,20050913,00:00:00,1.8190,1.8183,1.8247,1.8220
GBPUSD,20050914,00:00:00,1.8219,1.8215,1.8299,1.8224
GBPUSD,20050915,00:00:00,1.8226,1.8037,1.8236,1.8058
GBPUSD,20050916,00:00:00,1.8057,1.8018,1.8144,1.8078
GBPUSD,20050919,00:00:00,1.8035,1.7969,1.8060,1.8019
GBPUSD,20050920,00:00:00,1.8018,1.7979,1.8080,1.7988
GBPUSD,20050921,00:00:00,1.7988,1.7959,1.8126,1.8111
GBPUSD,20050922,00:00:00,1.8111,1.7879,1.8145,1.7898
GBPUSD,20050923,00:00:00,1.7899,1.7759,1.7926,1.7775
GBPUSD,20050926,00:00:00,1.7720,1.7704,1.7795,1.7781
GBPUSD,20050927,00:00:00,1.7782,1.7639,1.7785,1.7672
GBPUSD,20050928,00:00:00,1.7672,1.7604,1.7715,1.7681
GBPUSD,20050929,00:00:00,1.7680,1.7591,1.7699,1.7609
GBPUSD,20050930,00:00:00,1.7608,1.7565,1.7728,1.7636
GBPUSD,20051003,00:00:00,1.7618,1.7519,1.7632,1.7543
